,Bay,Date,Year,Tow,Towindex,Station,StartLAT,StartLON,Temp,SAL,DO.mg.L,Bottom.type,distswept,NumCaught,jday,cpT,avl,minl,maxl,sdl,area,cpue,efoff,rcpT,AvDepth,EndLAT,EndLON,NumKept
392,Napeague,2010-07-09,2010,6,15,35,,,26.1,28.4,6.96,sand,201.2,101,190,164.1618357,45.67711954,34,74,7.670637008,201.2,0.596588755,5.304299438,164,,,,
393,Napeague,2010-07-09,2010,7,16,36,,,26.4,28.6,7.85,sand,201.2,1,190,1.312908509,60,60,60,,201.2,0.006504192,5.304299438,1,,,,
394,Napeague,2010-07-09,2010,8,17,NS,,,26.2,28.5,7.2,sand,174.3,0,190,0,,,,,174.3,0,5.160777953,0,,,,
395,Napeague,2010-07-09,2010,9,18,NS,,,27.3,28.6,8.1,sand,201.2,0,190,0,,,,,201.2,0,5.304299438,0,,,,
396,Napeague,2010-07-09,2010,10,19,19,,,27.4,28.6,8.63,sand,201.2,0,190,0,,,,,201.2,0,5.304299438,0,,,,
397,Napeague,2010-07-09,2010,11,20,16,,,24.4,28.6,7.36,sand,201.2,0,190,0,,,,,201.2,0,5.304299438,0,,,,
398,Napeague,2010-07-23,2010,1,21,37,,,23.7,30.1,7.08,sand,0,0,204,0,,,,,201.2,0,5.304299438,0,,,,
399,Napeague,2010-07-23,2010,2,22,33,,,23.7,29.9,7.6,sand,0,0,204,0,,,,,201.2,0,5.304299438,0,,,,
400,Napeague,2010-07-23,2010,3,23,28,,,24.4,29.8,6.45,sand,0,2,204,3.151916183,47.64854878,43,53,7.071067812,187.8,0.016644082,5.235377567,3,,,,
401,Napeague,2010-07-23,2010,4,24,14,,,24.1,29.9,7.31,sand,0,0,204,0,,,,,174.3,0,5.160777953,0,,,,
402,Napeague,2010-07-23,2010,5,25,8,,,24.6,29.9,8.46,sand,0,0,204,0,,,,,201.2,0,5.304299438,0,,,,
403,Napeague,2010-07-23,2010,6,26,NS,,,24.7,29.9,8.28,sand,0,0,204,0,,,,,362.1,0,5.891920417,0,,,,
404,Napeague,2010-07-23,2010,7,27,1,,,24.7,29.9,8.35,sand,0,0,204,0,,,,,160.9,0,5.080783054,0,,,,
405,Napeague,2010-07-23,2010,8,28,NS,,,25.4,29.7,7.06,sand,0,1,204,1.222917267,65,65,65,,201.2,0.00605972,5.304299438,1,,,,
406,Napeague,2010-07-23,2010,9,29,19,,,24.7,29.9,8.56,sand,0,0,204,0,,,,,201.2,0,5.304299438,0,,,,
407,Napeague,2010-07-23,2010,10,30,29,,,24.7,29.8,8.62,sand,0,0,204,0,,,,,201.2,0,5.304299438,0,,,,
408,Napeague,2010-07-23,2010,11,31,35,,,,,,sand,0,1,204,0,,,,,201.2,0,5.304299438,0,,,,
409,Napeague,2010-07-23,2010,12,32,35,,,,,,sand,0,2,204,0,,,,,174.3,0,5.160777953,0,,,,
410,Napeague,2010-08-06,2010,1,33,38,,,25.2,29,6.3,sand,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
411,Napeague,2010-08-06,2010,2,34,NS,,,25.7,28.8,5.99,sand/grass,268.2,3,218,3.901522319,60.69076205,55,66,5.567764363,268.2,0.01444227,5.591732971,4,,,,
412,Napeague,2010-08-06,2010,3,35,34,,,25.2,28.9,6.11,,268.2,1,218,1.666511679,44,44,44,,268.2,0.006194465,5.591732971,2,,,,
413,Napeague,2010-08-06,2010,4,36,31,,,25.9,28.6,6.4,,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
414,Napeague,2010-08-06,2010,5,37,21,,,26.6,29,7.6,,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
415,Napeague,2010-08-06,2010,6,38,8,,,26.7,29,7.49,,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
416,Napeague,2010-08-06,2010,7,39,NS,,,27.5,28.8,6.6,sand,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
417,Napeague,2010-08-06,2010,8,40,NS,,,28.5,28.8,6.82,sand,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
418,Napeague,2010-08-06,2010,9,41,1,,,28.7,28.5,7.1,,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
419,Napeague,2010-08-06,2010,10,42,18,,,28.3,28.5,8.72,,268.2,0,218,0,,,,,268.2,0,5.591732971,0,,,,
420,Napeague,2010-08-19,2010,1,43,NS,,,23.2,29.5,7.08,sand/algae,214.6,0,231,0,,,,,214.6,0,5.36877583,0,,,,
421,Napeague,2010-08-19,2010,2,44,36,,,23.5,29.3,7.4,mud/sand,187.8,5,231,7.051632912,54.70914752,40,72,11.67047557,187.8,0.036860845,5.235377567,7,,,,
422,Napeague,2010-08-19,2010,3,45,37,,,23.4,29.2,7.54,mud/sand,187.8,8,231,10.24200703,62.24768039,52,76,8.903249808,187.8,0.053101598,5.235377567,10,,,,
423,Napeague,2010-08-19,2010,4,46,28,,,24.1,28.9,7.83,sand,187.8,0,231,0,,,,,187.8,0,5.235377567,0,,,,
424,Napeague,2010-08-19,2010,5,47,16,,,23.8,29.2,7.9,sand,187.8,1,231,1.239338748,64,64,64,,187.8,0.006577568,5.235377567,1,,,,
425,Napeague,2010-08-19,2010,6,48,5,,,24.5,29.3,7.36,sand,187.8,1,231,1.239338748,64,64,64,,187.8,0.006577568,5.235377567,1,,,,
426,Napeague,2010-08-19,2010,7,49,NS,,,25.5,28.9,7.29,sand,187.8,0,231,0,,,,,187.8,0,5.235377567,0,,,,
427,Napeague,2010-08-19,2010,8,50,2,,,24.8,29,8.41,sand/algae,187.8,0,231,0,,,,,187.8,0,5.235377567,0,,,,
428,Napeague,2010-08-19,2010,9,51,18,,,24.6,28.7,7.96,sand,187.8,0,231,0,,,,,187.8,0,5.235377567,0,,,,
429,Napeague,2010-08-19,2010,10,52,29,,,24.1,28.9,8.44,sand/algae,187.8,0,231,0,,,,,187.8,0,5.235377567,0,,,,
430,Napeague,2010-09-02,2010,1,53,38,,,25.7,29.5,6.9,sand/algae,268.2,0,245,0,,,,,268.2,0,5.591732971,0,,,,
431,Napeague,2010-09-02,2010,2,54,36,,,26.3,29.2,8.28,sand/algae,268.2,3,245,3.879002711,62.45132452,54,81,14.79864859,268.2,0.014359504,5.591732971,4,,,,
432,Napeague,2010-09-02,2010,3,55,33,,,25.8,29.2,7.53,sand,268.2,0,245,0,,,,,268.2,0,5.591732971,0,,,,
433,Napeague,2010-09-02,2010,4,56,35,,,26.9,29.4,7.44,sand,268.2,1,245,1.094015457,76,76,76,,268.2,0.004070806,5.591732971,1,,,,
434,Napeague,2010-09-02,2010,5,57,28,,,26.7,29.3,7.86,sand,268.2,0,245,0,,,,,268.2,0,5.591732971,0,,,,
435,Napeague,2010-09-02,2010,6,58,8,,,26.5,29.4,8.24,sand/algae,268.2,1,245,1.222917267,65,65,65,,268.2,0.004549357,5.591732971,1,,,,
436,Napeague,2010-09-02,2010,7,59,NS,,,27.4,29.6,7.84,sand/algae,268.2,0,245,0,,,,,268.2,0,5.591732971,0,,,,
437,Napeague,2010-09-02,2010,8,60,1,,,27.6,29.5,7.79,sand,268.2,0,245,0,,,,,268.2,0,5.591732971,0,,,,
438,Napeague,2010-09-14,2010,1,61,37,,,21.6,29,6.91,sand/grass,268.2,5,257,6.617828491,59.8782253,52,76,9.654014709,268.2,0.024375465,5.591732971,7,,,,
439,Napeague,2010-09-14,2010,2,62,35,,,21.7,28.8,7.13,sand/grass,174.3,7,257,8.568394262,65.45202412,58,79,6.669047194,174.3,0.047988785,5.160777953,9,,,,
440,Napeague,2010-09-14,2010,3,63,28,,,21.9,28.4,7.24,sand/grass,174.3,5,257,5.504924589,76.15965971,70,85,6.730527468,174.3,0.031094558,5.160777953,6,,,,
441,Napeague,2010-09-14,2010,4,64,23,,,22,28.5,7.54,mud,174.3,0,257,0,,,,,174.3,0,5.160777953,0,,,,
442,Napeague,2010-09-14,2010,5,65,10,,,22,28.4,7.35,sand/algae,174.3,1,257,1.534401164,50,50,50,,174.3,0.008764697,5.160777953,2,,,,
443,Napeague,2010-09-14,2010,6,66,8,,,22.3,28.6,7.62,sand/algae,187.8,0,257,0,,,,,187.8,0,5.235377567,0,,,,
444,Napeague,2010-09-14,2010,7,67,18,,,22.5,28.8,8.02,sand/algae,187.8,1,257,1.061355468,81,81,81,,187.8,0.00563561,5.235377567,1,,,,
445,Napeague,2010-09-14,2010,8,68,29,,,22.5,28.8,7.41,sand/algae,187.8,1,257,1.192534974,67,67,67,,187.8,0.00632995,5.235377567,1,,,,
446,Napeague,2010-09-14,2010,9,69,29,,,22.3,28.8,7.3,sand/algae,187.8,3,257,3.723134934,64.51327173,55,74,9.609023537,187.8,0.019631044,5.235377567,4,,,,
447,Napeague,2010-09-14,2010,10,70,NS- 1 sta W of 29,,,22.8,29,8.18,sand/algae,187.8,5,257,6.288026552,63.58630134,58,78,8.378544026,187.8,0.032934234,5.235377567,6,,,,
448,Napeague,2010-10-08,2010,1,71,38,,,17.1,29.7,7.64,sand/algae,201.2,1,281,1.274595083,62,62,62,,201.2,0.006314984,5.304299438,1,,,,
449,Napeague,2010-10-08,2010,2,72,NS- 1 sta W of 36,,,17.2,30.1,7.53,sand/algae,201.2,0,281,0,,,,,201.2,0,5.304299438,0,,,,
450,Napeague,2010-10-08,2010,3,73,36,,,17.6,29.9,7.31,sand/mud/algae,201.2,0,281,0,,,,,201.2,0,5.304299438,0,,,,
451,Napeague,2010-10-08,2010,4,74,32,,,17.3,29.7,8.06,sand/grass/algae,201.2,5,281,4.451344842,79.64700856,59,99,16.93861466,201.2,0.021882796,5.304299438,4,,,,
452,Napeague,2010-10-08,2010,5,75,27,,,17,29.7,7.68,sand/algae,201.2,2,281,2.142674736,79.4647764,77,82,3.535533906,201.2,0.010593171,5.304299438,2,,,,
453,Napeague,2010-10-08,2010,6,76,7,,,16.5,29.7,7.8,sand/algae,201.2,5,281,5.277046229,82.91354265,78,91,5.244044241,201.2,0.025889812,5.304299438,5,,,,
454,Napeague,2010-10-08,2010,7,77,NS- SW of 1,,,16.9,29.6,8.15,sand/algae,201.2,6,281,6.696556643,74.47627207,63,82,6.67582704,201.2,0.032741194,5.304299438,7,,,,
455,Napeague,2010-10-08,2010,8,78,NS- 1 sta S of 1,,,17,29.5,8.37,sand/algae,201.2,7,281,7.35247051,86.25426501,73,99,9.761440175,201.2,0.035891228,5.304299438,7,,,,
456,Napeague,2010-10-08,2010,9,79,4,,,17.1,29.3,8.45,sand/algae,201.2,0,281,0,,,,,201.2,0,5.304299438,0,,,,
457,Napeague,2010-10-08,2010,10,80,18,,,17.6,29.9,8.01,sand/algae,201.2,2,281,2.272430554,74.91087395,64,88,16.97056275,201.2,0.011231081,5.304299438,2,,,,
458,Shinnecock,2010-06-01,2010,1,1,19,,,,,,,0,1,152,1.858356313,32,32,32,,201.2,0.009193969,5.304299438,2,,,,
459,Shinnecock,2010-06-01,2010,2,2,15,,,,,,,0,0,152,0,,,,,241.4,0,5.486455309,0,,,,
460,Shinnecock,2010-06-01,2010,3,3,9,,,,,,,0,0,152,0,,,,,201.2,0,5.304299438,0,,,,
461,Shinnecock,2010-06-01,2010,4,4,5,,,,,,,0,3,152,5.450665697,34.07658874,28,42,7.094598885,268.2,0.020119379,5.591732971,5,,,,
462,Shinnecock,2010-06-01,2010,5,5,5,,,,,,,0,6,152,10.19192631,42.03416292,36,47,3.816630276,268.2,0.037296957,5.591732971,10,,,,
463,Shinnecock,2010-06-01,2010,6,6,8,,,,,,,0,1,152,1.706267717,42,42,42,,201.2,0.008444699,5.304299438,2,,,,
464,Shinnecock,2010-06-01,2010,7,7,12,,,,,,,0,0,152,0,,,,,201.2,0,5.304299438,0,,,,
465,Shinnecock,2010-06-01,2010,8,8,11,,,,,,,0,0,152,0,,,,,201.2,0,5.304299438,0,,,,
466,Shinnecock,2010-06-10,2010,1,9,1,,,20.3,25.1,8.77,grass,321.9,11,161,17.93494628,43.61957205,32,56,9.646478397,321.9,0.054219109,5.774240938,18,,,,
467,Shinnecock,2010-06-10,2010,2,10,4,,,20,26.1,7.23,mud,348.7,0,161,0,,,,,348.7,0,5.854211954,0,,,,
468,Shinnecock,2010-06-10,2010,3,11,5,,,20.2,26.2,8.65,sand/grass,295,6,161,9.929736591,43.0175511,31,52,8.310635756,295,0.033106022,5.686975356,10,,,,
469,Shinnecock,2010-06-10,2010,4,12,6,,,20.5,26,8.31,sand/grass,348.7,4,161,6.89196939,40.15867766,35,49,6.454972244,348.7,0.019571966,5.854211954,7,,,,
470,Shinnecock,2010-06-10,2010,5,13,7,,,20.6,25.5,8.3,sand/grass,321.9,4,161,6.332116634,46.58966715,35,54,8.421203398,321.9,0.019480092,5.774240938,6,,,,
471,Shinnecock,2010-06-10,2010,6,14,11,,,20.5,25.9,8.44,sand/grass,308.5,0,161,0,,,,,308.5,0,5.731721843,0,,,,
472,Shinnecock,2010-06-10,2010,7,15,13,,,20.4,26.2,7.8,sand/grass,348.7,0,161,0,,,,,348.7,0,5.854211954,0,,,,
473,Shinnecock,2010-06-10,2010,8,16,13,,,20.3,26.1,7.63,sand/grass,295,0,161,0,,,,,295,0,5.686975356,0,,,,
474,Shinnecock,2010-06-10,2010,9,17,9,,,20.1,26.3,7.72,sand/grass,348.7,0,161,0,,,,,348.7,0,5.854211954,0,,,,
475,Shinnecock,2010-06-10,2010,10,18,6,,,20.4,26.3,8.48,sand/grass,375.5,1,161,1.821184158,35,35,35,,375.5,0.004838301,5.928258471,2,,,,
476,Shinnecock,2010-06-28,2010,1,19,1,,,22.2,28.9,15.47,sand/grass/algae,201.2,13,179,18.97317431,52.86577567,45,62,6.09013494,201.2,0.090114954,5.304299438,19,,,,
477,Shinnecock,2010-06-28,2010,2,20,3,,,22,28.8,15.01,sand/grass/algae,201.2,9,179,14.11428789,47.94680697,39,57,5.61248608,201.2,0.067799327,5.304299438,14,,,,
478,Shinnecock,2010-06-28,2010,3,21,5,,,24.2,28.7,13.63,sand/grass/algae,201.2,36,179,52.98239208,52.14859411,40,65,7.059553923,201.2,0.23375265,5.304299438,53,,,,
479,Shinnecock,2010-06-28,2010,4,22,6,,,23.9,28.9,10.95,sand/grass/algae,201.2,2,179,2.58981651,61.0651792,56,67,7.778174593,201.2,0.012789713,5.304299438,3,,,,
480,Shinnecock,2010-06-28,2010,5,23,7,,,24.7,29.1,11.41,sand/grass/algae,201.2,3,179,4.60305742,49.99001362,49,51,1,201.2,0.022620241,5.304299438,5,,,,
481,Shinnecock,2010-06-28,2010,6,24,7,,,23.6,29.1,10.24,sand/grass/algae,201.2,4,179,5.87341539,52.30356078,44,66,9.42956344,201.2,0.028773956,5.304299438,6,,,,
482,Shinnecock,2010-06-28,2010,7,25,9,,,23.2,29.1,11.38,sand/grass/algae,201.2,1,179,1.239338748,64,64,64,,201.2,0.006140842,5.304299438,1,,,,
483,Shinnecock,2010-06-28,2010,8,26,11,,,24.3,29.1,10.57,sand/grass/algae,201.2,2,179,2.385815001,68.54434369,60,79,13.43502884,201.2,0.011788173,5.304299438,2,,,,
484,Shinnecock,2010-06-28,2010,9,27,13,,,23.5,29.2,10.92,sand/grass/algae,201.2,6,179,9.17979505,49.84530386,45,58,5.115336418,201.2,0.044615007,5.304299438,9,,,,
485,Shinnecock,2010-06-28,2010,10,28,8,,,23.2,29.2,11.46,mud/sand/grass/algae,201.2,0,179,0,,,,,201.2,0,5.304299438,0,,,,
486,Shinnecock,2010-07-14,2010,1,29,3,,,23.1,29.1,8.32,sand,201.2,4,195,4.767136367,69.38464429,60,89,13.47837775,201.2,0.023417186,5.304299438,5,,,,
487,Shinnecock,2010-07-14,2010,2,30,5,,,25.7,28,15.04,sand/grass,201.2,21,195,29.91541202,54.43187558,44,67,7.608579118,201.2,0.138617767,5.304299438,30,,,,
488,Shinnecock,2010-07-14,2010,3,31,6,,,25.7,28.2,14.85,sand/grass,201.2,6,195,9.180479663,50.06535747,46,54,2.857738033,201.2,0.044618261,5.304299438,9,,,,
489,Shinnecock,2010-07-14,2010,4,32,9,,,25.3,28.4,11.27,sand/grass,201.2,14,195,18.72107099,58.73992813,45,72,8.471023655,201.2,0.088969276,5.304299438,19,,,,
490,Shinnecock,2010-07-14,2010,5,33,NS,,,26.6,27.7,10.51,sand/grass,201.2,15,195,18.02052879,61.34782713,39,75,10.1331791,201.2,0.085778766,5.304299438,18,,,,
491,Shinnecock,2010-07-14,2010,6,34,14,,,24.6,28.8,13.88,sand/grass,201.2,1,195,1.534401164,50,50,50,,201.2,0.007597316,5.304299438,2,,,,
492,Shinnecock,2010-07-14,2010,7,35,13,,,27.1,27.6,9.53,sand/grass,201.2,3,195,3.534884788,68.80019287,60,74,8.082903769,201.2,0.017416459,5.304299438,4,,,,
493,Shinnecock,2010-07-14,2010,8,36,15,,,26.8,28.2,15.68,sand/grass,201.2,7,195,8.562095845,65.65285413,58,80,7.425823668,201.2,0.041674573,5.304299438,9,,,,
494,Shinnecock,2010-07-14,2010,9,37,19,,,27.1,28.8,9.88,sand/grass,201.2,2,195,2.567373565,62.44474124,53,75,15.55634919,201.2,0.012679579,5.304299438,3,,,,
495,Shinnecock,2010-07-14,2010,10,38,20,,,26.1,28.2,10.03,sand/grass,201.2,4,195,4.912388064,65.34484899,57,75,8.406346809,201.2,0.024122155,5.304299438,5,,,,
496,Shinnecock,2010-07-27,2010,1,39,1,,,24.2,29,,sand/grass,201.2,11,208,14.00474616,62.22949996,49,70,6.61540901,201.2,0.067290444,5.304299438,14,,,,
497,Shinnecock,2010-07-27,2010,2,40,6,,,24.6,29.8,13.8,sand/grass,201.2,6,208,7.318425994,65.83748829,55,75,7.867655305,201.2,0.035727973,5.304299438,7,,,,
498,Shinnecock,2010-07-27,2010,3,41,8,,,25.3,29.5,12.57,sand/grass,174.3,1,208,1.534401164,50,50,50,,174.3,0.008764697,5.160777953,2,,,,
499,Shinnecock,2010-07-27,2010,4,42,9,,,22.5,30.1,11.28,sand/grass,201.2,0,208,0,,,,,201.2,0,5.304299438,0,,,,
500,Shinnecock,2010-07-27,2010,5,43,9,,,25.7,29.5,12.21,sand/grass,174.3,2,208,2.42690384,68.26532201,57,83,18.38477631,174.3,0.013827672,5.160777953,2,,,,
501,Shinnecock,2010-07-27,2010,6,44,12,,,24,29.8,9.95,sand/grass,174.3,0,208,0,,,,,174.3,0,5.160777953,0,,,,
502,Shinnecock,2010-07-27,2010,7,45,13,,,25,30.2,14.68,sand/grass,201.2,17,208,19.42879854,73.17455011,58,92,10.55343546,201.2,0.092182206,5.304299438,19,,,,
503,Shinnecock,2010-07-27,2010,8,46,18,,,23.7,29.7,9.49,sand/grass,174.3,2,208,2.515182712,64.66429972,54,79,17.67766953,174.3,0.014327069,5.160777953,3,,,,
504,Shinnecock,2010-07-27,2010,9,47,17,,,25.3,30.2,12.64,sand/grass,174.3,7,208,8.150687624,69.40676561,64,77,4.353433237,174.3,0.045701979,5.160777953,8,,,,
505,Shinnecock,2010-07-27,2010,10,48,18,,,22.2,30.1,10.17,sand/grass,174.3,1,208,1.706267717,42,42,42,,174.3,0.009741654,5.160777953,2,,,,
506,Shinnecock,2010-08-16,2010,1,49,1,,,24.7,28,7.64,sand/grass,268.2,0,228,0,,,,,268.2,0,5.591732971,0,,,,
507,Shinnecock,2010-08-16,2010,2,50,4,,,24.6,28.3,7.14,sand/algae,295,0,228,0,,,,,295,0,5.686975356,0,,,,
508,Shinnecock,2010-08-16,2010,3,51,6,,,24.7,28.7,7.34,sand/grass,295,2,228,2.465950909,64.67585302,60,70,7.071067812,295,0.008324411,5.686975356,2,,,,
509,Shinnecock,2010-08-16,2010,4,52,9,,,24.6,28.6,7.17,sand/grass,295,0,228,0,,,,,295,0,5.686975356,0,,,,
510,Shinnecock,2010-08-16,2010,5,53,11,,,24.3,28.8,7.46,sand/grass/algae,295,1,228,1.130583272,72,72,72,,295,0.00382516,5.686975356,1,,,,
511,Shinnecock,2010-08-16,2010,6,54,13,,,24,28.8,7.15,sand/grass,295,0,228,0,,,,,295,0,5.686975356,0,,,,
512,Shinnecock,2010-08-16,2010,7,55,15,,,24.6,28.9,8.51,sand/grass,268.2,1,228,1.021103079,93,93,93,,268.2,0.003800016,5.591732971,1,,,,
513,Shinnecock,2010-08-16,2010,8,56,17,,,24.7,28.8,8.08,sand/grass,268.2,3,228,3.166031246,83.79621056,75,90,7.937253933,268.2,0.011735608,5.591732971,3,,,,
514,Shinnecock,2010-08-16,2010,9,57,19,,,24.2,29.1,7.64,sand/grass,295,1,228,1.036180632,87,87,87,,295,0.003506322,5.686975356,1,,,,
515,Shinnecock,2010-08-16,2010,10,58,18,,,24,29.4,6.18,mud/sand/algae,295,1,228,1.03954598,86,86,86,,295,0.00351769,5.686975356,1,,,,
516,Shinnecock,2010-08-26,2010,1,59,1,,,23,29.1,9.01,sand/grass,268.2,0,238,0,,,,,268.2,0,5.591732971,0,,,,
517,Shinnecock,2010-08-26,2010,2,60,6,,,23.6,29,11.5,sand/grass,268.2,1,238,1.03954598,86,86,86,,268.2,0.003868518,5.591732971,1,,,,
518,Shinnecock,2010-08-26,2010,3,61,7,,,23.8,28.7,13.66,sand/grass,228,0,238,0,,,,,228,0,5.429345629,0,,,,
519,Shinnecock,2010-08-26,2010,4,62,9,,,23.3,29.3,11.19,sand/grass,228,0,238,0,,,,,228,0,5.429345629,0,,,,
520,Shinnecock,2010-08-26,2010,5,63,11,,,22.9,29.4,10.16,sand/grass,228,1,238,1.1530424,70,70,70,,228,0.005044459,5.429345629,1,,,,
521,Shinnecock,2010-08-26,2010,6,64,11,,,23.6,29,12.88,sand/grass,228,3,238,3.501221849,69.16221676,64,73,4.725815626,228,0.015239523,5.429345629,4,,,,
522,Shinnecock,2010-08-26,2010,7,65,14,,,22.4,29.3,7.25,sand/grass/algae,228,0,238,0,,,,,228,0,5.429345629,0,,,,
523,Shinnecock,2010-08-26,2010,8,66,15,,,23.2,29.3,10.66,sand/grass,228,2,238,2.133561437,80.87235081,76,86,7.071067812,228,0.009314213,5.429345629,2,,,,
524,Shinnecock,2010-08-26,2010,9,67,17,,,23.4,29.1,10.66,sand/grass,228,1,238,1.051532818,83,83,83,,228,0.004601383,5.429345629,1,,,,
525,Shinnecock,2010-08-26,2010,10,68,19,,,22.9,29.2,10.82,sand/grass,228,4,238,4.242508457,87.20690161,68,103,14.8548533,228,0.018436492,5.429345629,4,,,,
526,Shinnecock,2010-09-09,2010,1,69,20,,,21.8,29,6.63,sand/mud/algae,268.2,1,252,1.02766066,90,90,90,,268.2,0.003824373,5.591732971,1,,,,
527,Shinnecock,2010-09-09,2010,2,70,17,,,22.1,28.8,7.79,sand/grass,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
528,Shinnecock,2010-09-09,2010,3,71,15,,,21.8,28.6,7.56,sand/grass,268.2,3,252,3.284935874,77.62123362,69,88,9.539392014,268.2,0.012173682,5.591732971,3,,,,
529,Shinnecock,2010-09-09,2010,4,72,13,,,22.3,28.8,8.08,sand/grass,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
530,Shinnecock,2010-09-09,2010,5,73,12,,,21,29,6.42,sand/algae,268.2,0,252,0,,,,,268.2,0,5.591732971,0,,,,
531,Shinnecock,2010-09-09,2010,6,74,9,,,21.7,28.9,9.67,sand/grass/algae,268.2,3,252,3.311475178,75.49177109,70,82,6.027713773,268.2,0.012271433,5.591732971,3,,,,
532,Shinnecock,2010-09-09,2010,7,75,8,,,20.7,29.1,7.72,sand/algae,268.2,1,252,1.110988139,74,74,74,,268.2,0.004133831,5.591732971,1,,,,
533,Shinnecock,2010-09-09,2010,8,76,6,,,21.8,29.1,11.56,sand/grass/algae,268.2,1,252,1.141440903,71,71,71,,268.2,0.004246901,5.591732971,1,,,,
534,Shinnecock,2010-09-09,2010,9,77,3,,,22.6,28.5,10.81,sand/grass/algae,268.2,2,252,2.36435817,67.89661926,65,71,4.242640687,268.2,0.008777022,5.591732971,2,,,,
535,Shinnecock,2010-09-09,2010,10,78,1,,,23.3,27.9,8.84,sand/algae,268.2,2,252,2.133561437,80.87235081,76,86,7.071067812,268.2,0.007923638,5.591732971,2,,,,
536,Shinnecock,2010-09-21,2010,1,79,19,,,21.4,27.8,7.45,sand/grass,228,0,264,0,,,,,228,0,5.429345629,0,,,,
537,Shinnecock,2010-09-21,2010,2,80,17,,,21.4,27.9,7.8,sand/grass,228,0,264,0,,,,,228,0,5.429345629,0,,,,
538,Shinnecock,2010-09-21,2010,3,81,15,,,21.6,27.6,8.81,sand/grass,228,0,264,0,,,,,228,0,5.429345629,0,,,,
539,Shinnecock,2010-09-21,2010,4,82,14,,,21.5,27.7,8.68,sand/grass,228,0,264,0,,,,,228,0,5.429345629,0,,,,
540,Shinnecock,2010-09-21,2010,5,83,12,,,21.6,27.9,8.84,sand/grass/algae,228,0,264,0,,,,,228,0,5.429345629,0,,,,
541,Shinnecock,2010-09-21,2010,6,84,9,,,21.7,28.2,10.6,sand/algae,228,1,264,1.009294924,102,102,102,,228,0.004416963,5.429345629,1,,,,
542,Shinnecock,2010-09-21,2010,7,85,6,,,21.6,27.8,11.56,sand/algae,228,2,264,2.238318648,73.79335904,69,79,7.071067812,228,0.009769312,5.429345629,2,,,,
543,Shinnecock,2010-09-21,2010,8,86,5,,,21.8,27.6,11.6,sand/algae,228,0,264,0,,,,,228,0,5.429345629,0,,,,
544,Shinnecock,2010-09-21,2010,9,87,4,,,21,28.8,9.37,sand/algae,228,0,264,0,,,,,228,0,5.429345629,0,,,,
545,Shinnecock,2010-09-21,2010,10,88,1,,,21.4,29.2,10.45,sand/grass/algae,228,0,264,0,,,,,228,0,5.429345629,0,,,,
546,Shinnecock,2010-10-13,2010,1,89,,,,16.9,28.8,8.6,sand/grass,254.8,0,286,0,,,,,254.8,0,5.540478924,0,,,,
547,Shinnecock,2010-10-13,2010,2,90,,,,17.6,28.8,9.5,sand/grass,228,0,286,0,,,,,228,0,5.429345629,0,,,,
548,Shinnecock,2010-10-13,2010,3,91,,,,17.6,29,9.84,sand/grass,228,0,286,0,,,,,228,0,5.429345629,0,,,,
549,Shinnecock,2010-10-13,2010,4,92,,,,17.3,29,9.74,sand/grass/algae,228,0,286,0,,,,,228,0,5.429345629,0,,,,
550,Shinnecock,2010-10-13,2010,5,93,,,,17.3,29,9.96,sand/grass,228,1,286,1.009294924,102,102,102,,228,0.004416963,5.429345629,1,,,,
551,Shinnecock,2010-10-13,2010,6,94,,,,17.9,28.1,9.67,sand/grass,228,0,286,0,,,,,228,0,5.429345629,0,,,,
552,Shinnecock,2010-10-13,2010,7,95,,,,17.7,28.6,11.52,sand/grass,228,0,286,0,,,,,228,0,5.429345629,0,,,,
553,Shinnecock,2010-10-13,2010,8,96,,,,17.7,28.5,11.39,sand/grass/algae,228,0,286,0,,,,,228,0,5.429345629,0,,,,
554,Shinnecock,2011-06-06,2011,1,1,,,,18.5,28.7,7.16,sand/algae,174.3,8,157,14.1650873,38.02659323,34,44,3.440826313,174.3,0.078134824,5.160777953,14,,,,
555,Shinnecock,2011-06-06,2011,2,2,,,,19.4,28.2,8.81,sand/algae,187.8,6,157,10.54327734,39.15893977,38,40,0.98319208,187.8,0.054621687,5.235377567,11,,,,
556,Shinnecock,2011-06-06,2011,3,3,,,,19.7,28.4,8.41,sand/algae,187.8,5,157,8.993040557,36.07519305,32,43,4.207136794,187.8,0.046775054,5.235377567,9,,,,
557,Shinnecock,2011-06-06,2011,4,4,,,,20.5,27.5,8.35,sand/algae,187.8,8,157,13.73339423,40.56722909,31,50,5.817154434,187.8,0.070577529,5.235377567,14,,,,
